TokenId,LastSalePrice,Background,BackgroundRarity,Earring,EarringRarity,Fur,FurRarity,Eyes,EyesRarity,Mouth,MouthRarity,Clothes,ClothesRarity,Hat,HatRarity,LastSaleToken,NumberOfSales,SaleDate,USDPrice,LogUSDPrice,Outlier
742,0.12,Purple,0.1291,,,Cheetah,0.0406,Sunglasses,0.0352,Bored Kazoo,0.0074,Tanktop,0.0235,Sea Captain's Hat,0.0304,Ether,1.0,2021-05-01 02:36:07.954644,491.394,6.197246250000326,1
832,0.12,Blue,0.1242,,,Golden Brown,0.0778,Sunglasses,0.0352,Grin Gold Grill,0.0091,Caveman Pelt,0.0163,Bandana Blue,0.0089,Ether,1.0,2021-05-01 02:42:39.319928,491.394,6.197246250000326,1
1026,0.09,Orange,0.1273,,,Golden Brown,0.0778,Bored,0.1714,Bored Unshaven Cigarette,0.0438,Leather Punk Jacket,0.0153,,,Ether,1.0,2021-05-01 04:26:03.610832,368.5455,5.909564177548545,1
1150,0.5,Purple,0.1291,,,Dark Brown,0.1352,Closed,0.071,Bored Unshaven,0.1551,Vietnam Jacket,0.0224,Laurel Wreath,0.0072,Ether,1.0,2021-05-01 05:01:06.871720,2047.475,7.624362605640472,1
1685,0.18,Aquamarine,0.1266,Silver Hoop,0.0882,Zombie,0.0302,Crazy,0.0407,Bored Unshaven,0.1551,,,Beanie,0.0578,Ether,1.0,2021-05-01 06:32:25.020302,737.0909999999999,6.60271135810849,1
1168,0.075,Orange,0.1273,,,Golden Brown,0.0778,Bored,0.1714,Bored,0.2272,,,Bunny Ears,0.0195,Ether,1.0,2021-05-01 06:47:06.951181,307.12125,5.72724262075459,1
2074,0.06,Gray,0.117,,,Brown,0.137,3d,0.0487,Dumbfounded,0.0505,Black Holes T,0.0205,,,Ether,1.0,2021-05-01 06:59:53.518845,245.697,5.504099069440381,1
2172,0.07,Yellow,0.1283,Silver Stud,0.0823,Blue,0.049,Scumbag,0.0233,Grin,0.0713,Sailor Shirt,0.0284,Beanie,0.0578,Ether,1.0,2021-05-01 07:05:00.218832,286.6465,5.658249749267639,1
757,0.08,Orange,0.1273,,,Tan,0.0626,Angry,0.0432,Bored,0.2272,Navy Striped Tee,0.0334,,,Ether,1.0,2021-05-01 07:12:36.309129,327.596,5.791781141892161,1
397,0.2,Yellow,0.1283,,,Brown,0.137,Bloodshot,0.0846,Bored Cigarette,0.071,,,,,Ether,1.0,2021-05-01 07:12:36.688839,808.72,6.695452750845802,1
2599,0.16,Aquamarine,0.1266,Cross,0.0149,Pink,0.0511,Heart,0.0394,Bored Cigarette,0.071,Wool Turtleneck,0.024,Halo,0.0324,Ether,1.0,2021-05-01 07:12:52.070040,655.192,6.484928322452107,1
2824,0.1666,Orange,0.1273,Silver Hoop,0.0882,Black,0.1229,Coins,0.0479,Bored,0.2272,Wool Turtleneck,0.024,Horns,0.0252,Ether,1.0,2021-05-01 07:16:13.445487,682.21867,6.525350236951022,1
206,0.14,New Punk Blue,0.1232,Diamond Stud,0.0222,Dark Brown,0.1352,Blindfold,0.0264,Jovial,0.0296,,,Sea Captain's Hat,0.0304,Ether,1.0,2021-05-01 07:16:46.258084,566.104,6.3387778069070695,1
2992,0.065,Aquamarine,0.1266,,,Dark Brown,0.1352,Sleepy,0.0751,Bored Cigarette,0.071,Vietnam Jacket,0.0224,,,Ether,1.0,2021-05-01 07:18:26.228957,266.17175,5.584141777113917,1
2057,0.12,Purple,0.1291,,,Brown,0.137,Bored,0.1714,Small Grin,0.0272,,,Horns,0.0252,Ether,2.0,2021-05-01 07:22:05.642410,491.394,6.197246250000326,1
1821,0.089,Purple,0.1291,Silver Stud,0.0823,Brown,0.137,Bored,0.1714,Bored,0.2272,Tuxedo Tee,0.0235,Bayc Hat Black,0.0228,Ether,1.0,2021-05-01 07:23:23.912548,364.45055,5.89839087695042,1
1424,0.13,Purple,0.1291,Silver Hoop,0.0882,Pink,0.0511,Eyepatch,0.0333,Bored Unshaven,0.1551,,,,,Ether,1.0,2021-05-01 07:24:29.675263,532.3435,6.277288957673862,1
1640,0.12,Yellow,0.1283,,,Dark Brown,0.1352,Bored,0.1714,Bored Unshaven,0.1551,Bone Tee,0.023,Beanie,0.0578,Ether,2.0,2021-05-01 07:26:43.260322,491.394,6.197246250000326,1
3143,0.14,New Punk Blue,0.1232,,,Black,0.1229,3d,0.0487,Bored,0.2272,,,Halo,0.0324,Ether,1.0,2021-05-01 07:28:43.533548,573.293,6.351396929827584,1
1210,3.0,Army Green,0.1243,,,Zombie,0.0302,Heart,0.0394,Bored,0.2272,Service,0.0142,,,Ether,2.0,2021-05-01 07:31:17.730489,12284.85,9.416122074868527,-1
3276,0.0911,New Punk Blue,0.1232,Silver Stud,0.0823,Dark Brown,0.1352,3d,0.0487,Dumbfounded,0.0505,Black Holes T,0.0205,Seaman's Hat,0.042,Ether,1.0,2021-05-01 07:31:23.820689,373.049945,5.9217123114841925,1
3471,0.07,New Punk Blue,0.1232,,,Dark Brown,0.1352,Robot,0.035,Bored Cigarette,0.071,Leather Jacket,0.0206,Beanie,0.0578,Ether,1.0,2021-05-01 07:33:18.074742,286.6465,5.658249749267639,1
2407,0.085,New Punk Blue,0.1232,,,Dark Brown,0.1352,Wide Eyed,0.0549,Rage,0.0266,,,Halo,0.0324,Ether,1.0,2021-05-01 07:38:08.158409,348.07075000000003,5.852405763708597,1
3204,0.14,Purple,0.1291,,,Brown,0.137,Coins,0.0479,Bored,0.2272,Rainbow Suspenders,0.0135,Cowboy Hat,0.0354,Ether,1.0,2021-05-01 07:42:35.670256,573.293,6.351396929827584,1
2993,0.075,Yellow,0.1283,,,Dark Brown,0.1352,Heart,0.0394,Bored,0.2272,,,Bayc Flipped Brim,0.0231,Ether,1.0,2021-05-01 07:42:35.911532,307.12125,5.72724262075459,1
4773,0.115,Aquamarine,0.1266,,,White,0.0397,Robot,0.035,Bored,0.2272,,,Faux Hawk,0.0136,Ether,1.0,2021-05-01 07:44:17.218920,473.4136,6.159969425015352,1
3440,0.1,Blue,0.1242,,,Dark Brown,0.1352,Sunglasses,0.0352,Bored Cigarette,0.071,Biker Vest,0.0253,Vietnam Era Helmet,0.0223,Ether,1.0,2021-05-01 07:45:45.185462,409.495,6.014924693206371,1
